county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,02-05,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,03-05,U.S. Senate,,DEMOCRATIC,Coons C,223,4,227
New Castle,03-05,U.S. Senate,,REPUBLICAN,O'Donnell,50,0,50
New Castle,03-05,U.S. Senate,,IND OF DEL,Miller G,7,0,7
New Castle,03-05,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,04-05,U.S. Senate,,DEMOCRATIC,Coons C,270,11,281
New Castle,04-05,U.S. Senate,,REPUBLICAN,O'Donnell,56,0,56
New Castle,04-05,U.S. Senate,,IND OF DEL,Miller G,6,0,6
New Castle,04-05,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,05-05,U.S. Senate,,DEMOCRATIC,Coons C,602,10,612
New Castle,05-05,U.S. Senate,,REPUBLICAN,O'Donnell,67,3,70
New Castle,05-05,U.S. Senate,,IND OF DEL,Miller G,8,0,8
New Castle,05-05,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,06-05,U.S. Senate,,DEMOCRATIC,Coons C,604,6,610
New Castle,06-05,U.S. Senate,,REPUBLICAN,O'Donnell,81,7,88
New Castle,06-05,U.S. Senate,,IND OF DEL,Miller G,9,0,9
New Castle,06-05,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,07-05,U.S. Senate,,DEMOCRATIC,Coons C,325,9,334
New Castle,07-05,U.S. Senate,,REPUBLICAN,O'Donnell,107,1,108
New Castle,07-05,U.S. Senate,,IND OF DEL,Miller G,12,1,13
New Castle,07-05,U.S. Senate,,LIBERTARIN,Rash J,3,0,3
New Castle,08-05,U.S. Senate,,DEMOCRATIC,Coons C,299,0,299
New Castle,08-05,U.S. Senate,,REPUBLICAN,O'Donnell,110,3,113
New Castle,08-05,U.S. Senate,,IND OF DEL,Miller G,6,0,6
New Castle,08-05,U.S. Senate,,LIBERTARIN,Rash J,3,0,3
New Castle,09-05,U.S. Senate,,DEMOCRATIC,Coons C,437,4,441
New Castle,09-05,U.S. Senate,,REPUBLICAN,O'Donnell,82,2,84
New Castle,09-05,U.S. Senate,,IND OF DEL,Miller G,9,0,9
New Castle,09-05,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,10-05,U.S. Senate,,DEMOCRATIC,Coons C,483,8,491
